,Address,Fire alarm
803,128 SCHILLER Ave,5
804,128 STAFFORD Ave,1
805,128 W WARRINGTON Rd,2
806,129 BLAINE St,1
807,129 CHENEY St,1
808,129 FOBES Ave,1
809,129 GERTRUDE St,1
810,129 GORDON Ave,1
811,129 GREEN St,3
812,129 HARTSON St,7
813,129 LILAC St,3
814,129 MARSHALL St,7
815,129 MCLENNAN Ave,1
816,129 MILES Ave,1
817,129 PAUL Ave,1
818,129 SCHILLER Ave,1
819,129 SEELEY Ave,1
820,129 SEVENTH NORTH St,1
821,129 W FAYETTE St,4
822,13 CENTENNIAL Dr,3
823,13 SCHOENECK Ct,1
824,130 ANNETTA St,2
825,130 BALDWIN Ave,1
826,130 BRADFORD St,1
827,130 COLLEGE Pl,3
828,130 CORAL Ave,1
829,130 CROUSE Dr,5
830,130 E BISSELL St,1
831,130 FOBES Ave,2
832,130 GREEN St,1
833,130 MCLENNAN Ave,1
834,130 SEVENTH NORTH St,1
835,130 SIMS Dr,10
836,130 SMITH Dr,4
837,130 STATE FAIR Blvd,2
838,130 W OSTRANDER Ave,1
839,130 WOODLAWN Ter,1
840,1300 COURT St,1
841,1300 IVY RIDGE Rd,1
842,1300BLK HIGHLAND St,1
843,1301 BURNET Ave,2
844,1301 E COLVIN St,4
845,1301 E GENESEE St,1
846,1301 EUCLID Ave,1
847,1301 W ONONDAGA St,4
848,1302 FIRST NORTH St,1
849,1302 GRANT Blvd,5
850,1302 SPRING St,3
851,1304 IVY RIDGE Rd,1
852,1304 W ONONDAGA St,1
853,1305 CARBON St,1
854,1305 E ADAMS St,1
855,1305 EUCLID Ave,1
856,1305 JAMES St,1
857,1305 N SALINA St,1
858,1306 W GENESEE St,2
859,1307 S STATE St,1
860,1309 N SALINA St,3
861,131 BELLEVUE Ave,2
862,131 CROUSE Dr,1
863,131 CULBERT St,1
864,131 E WATER St,2
865,131 EDGEHILL Rd,1
866,131 FRISBIE Ct,1
867,131 GRAND Ave,1
868,131 HASBROUCK St,1
869,131 LIGHT Ct,1
870,131 MARSHALL St,1
871,131 MARTIN St,1
